surface,adsorption site,ads initial x,ads initial y,ads initial z,ads final x,ads final y,ads final z,adsorption energy
Li_mp-567337_100,bridge_0,2.5743001074083245,2.574300454508322,20.6096532782,2.5743004059,2.5743002182,20.4343294331,-0.2238777417226231
Li_mp-567337_100,bridge_1,0.8581000559000016,2.574300454508322,20.6096532782,0.8581002013,2.5743005858,20.7510889889,-0.0051848941702094
Li_mp-567337_100,ontop_0,0.8581000558999999,0.8581004029999999,20.6096532782,0.8581000789,0.8581006404,21.1881917257,0.1576621318584548
Li_mp-567337_110,bridge_0,0.4954200288607902,0.7006361242554657,23.965760487599997,0.4954206935,0.7006364065,24.3075832277,-0.190857392189209
Li_mp-567337_110,bridge_1,1.9816928714431616,0.7006361242554657,23.965760487599997,1.9816929166,0.7006363231,24.1826951116,-0.2294246998964917
Li_mp-567337_110,hollow_0,2.642258579257548,0.23354563284062158,23.965760487599997,2.5391029829,0.3064870816,24.1954549872,-0.2292257192551026
Li_mp-567337_110,ontop_0,-4.252000000548935e-06,2.1019075985,23.965760487599997,-4.3369e-06,2.101907353,24.4563930707,-0.1190415782440461
Li_mp-567337_111,bridge_0,4.403692468469409,2.551253241477065,19.9224886017,3.5230330406,2.0410438482,19.236623047,-0.2858191712725546
Li_mp-567337_111,bridge_1,1.9828825055189567,2.551253241477065,19.9224886017,2.9940846144,2.0404375383,19.2144439343,-0.2864400170513138
Li_mp-567337_111,hollow_0,5.612006940477488,3.251283677633532,19.9224886017,5.660921482,3.2796242616,19.6829394755,0.0316860017986833
Li_mp-567337_111,hollow_1,3.1953779964613136,1.8512228053205966,19.9224886017,3.259920475,1.8886234426,19.2160667756,-0.2913644532246245
Li_mp-567337_111,ontop_0,0.7787490524451599,0.45116193300766205,19.9224886017,0.7407877466,0.4291733865,20.4507210918,0.0668499443335975
Li_mp-1063005_100,bridge_0,1.9258910853000004,3.7116750907000013,18.927892363399998,1.9258830401,3.7116780006,19.1480609946,0.2828374930022673
Li_mp-1063005_100,bridge_1,1.925891085299999,1.237258810834759,18.927892363399998,1.925892786,1.2372503697,18.5149949901,-0.1993952124812381
Li_mp-1063005_100,bridge_2,0.48146958529999556,1.237258810834759,18.927892363399998,0.4814662592,1.2372436522,18.44565489,-0.1765515224586905
Li_mp-1063005_100,ontop_0,0.4814695852999999,3.7116750907,18.927892363399998,0.4814676762,3.7116781356,19.2491213062,0.3581099819738408
Li_mp-1063005_110,bridge_0,1.9258890032500022,2.1429077113000012,24.2753438489,1.9258724758,2.142907543,24.5993025843,0.0612905872848489
Li_mp-1063005_110,bridge_1,2.648099026399999,5.012554084099993,24.2753438489,2.2736661528,6.1981553385,24.0339510892,-0.1569290186464032
Li_mp-1063005_110,bridge_2,1.9258876537999992,6.428723308500004,24.2753438489,1.925875838,6.4287232391,24.2957300127,-0.0713909133768384
Li_mp-1063005_110,bridge_3,0.4814673990000017,3.5963848596999974,24.2753438489,0.4814530291,3.5026575943,24.2478985723,-0.0565713903752034
Li_mp-1063005_110,bridge_4,0.48146750324999904,2.1429077112999955,24.2753438489,0.4814583493,2.1429036633,24.4323323609,-0.0341359475445184
Li_mp-1063005_110,hollow_0,1.9258880688666657,5.484610492233338,24.2753438489,1.9258598678,6.163091111,24.1884113171,-0.0706865122735765
Li_mp-1063005_110,hollow_1,0.4814669839333286,4.540497675966671,24.2753438489,0.481455123,4.5686943932,24.4370388343,-0.0038380169466171
Li_mp-1063005_110,ontop_0,1.9258891074999998,0.6894305628999995,24.2753438489,1.9258705078,0.6433060128,24.3522385687,0.0212003690864118
Li_mp-1063005_110,ontop_1,0.4814661537999999,6.4287233085,24.2753438489,0.4814504409,6.428723492,24.3326214341,-0.0285832872213322
Li_mp-1063005_111,bridge_0,0.8383317169113327,2.283945145341097,17.6660652602,0.0050808475,1.4392250636,16.4270728949,-0.3215379039121446
Li_mp-1063005_111,bridge_1,0.2069589566635967,0.9145362309726528,17.6660652602,-0.2823016293,1.2454420901,17.4673987332,-0.1149517619680016
Li_mp-1063005_111,bridge_2,2.6141766849136134,5.59226442035954,17.6660652602,3.7250607767,6.1419372747,16.0661661613,-0.2767479313487471
Li_mp-1063005_111,bridge_3,3.7031453389658755,2.2839451453410997,17.6660652602,4.8984067115,0.93682011,16.4340769825,-0.2495806042928176
