material,material-id,e_hull,indice_de_miller,capas,nsites,altura_slab,a,b,c,alpha,beta,gamma,escalonada,exito_limpia,sitios_bridge,sitios_hollow,sitios_ontop,sitios_totales,bridge_enviados,hollow_enviados,ontop_enviados,bridge_exitosos,hollow_exitosos,ontop_exitosos,prob_convergencia,prob_tiempo,errores
Li,mp-1018134,0.0,100,6,18,4.443682797818958,3.078673751416902,22.369433955789773,24.44368279781896,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-1018134,0.0,110,6,18,7.696684378542256,5.33241935738275,7.665407662605867,27.69668437854225,90.0,90.0,103.40792182403636,False,,,,,,,,,,,,0,0,0
Li,mp-1018134,0.0,111,6,46,7.889799080170871,5.332419357382754,22.58029688844024,27.889799080170874,94.45331872049547,94.71500395394824,83.21887656680471,True,,,,,,,,,,,,0,0,0
Li,mp-51,0.0016723733333336,100,6,6,10.83416168064474,3.0643636771421354,3.0643636771421354,30.83416168064474,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,,,,,,,0,0,0
Li,mp-51,0.0016723733333336,110,6,6,7.660909192855325,3.064363677142135,4.333664672257896,27.66090919285533,90.0,90.0,90.0,False,True,3.0,0.0,1.0,4.0,,,,,,,0,0,0
Li,mp-51,0.0016723733333336,111,6,6,12.51021232552834,3.064363677142135,3.0643636771421368,32.510212325528336,90.0,90.0,120.0,False,True,1.0,2.0,1.0,4.0,,,,,,,0,0,0
Li,mp-976411,0.0058890908333335,100,6,8,4.379758465715991,3.034385675,10.21620767,24.37975846571599,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-976411,0.0058890908333335,110,6,24,7.920306420463511,5.255710158859183,10.21620767,27.92030642046351,90.0,94.71500395394824,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-976411,0.0058890908333335,111,6,21,7.920306420463515,5.255710158859183,10.657316528151542,27.92030642046351,99.33161926881196,94.71500395394824,75.72491834228018,True,,,,,,,,,,,,0,0,0
Li,mp-10173,0.0059877483333337,100,6,6,6.092077305925333,3.014796405,5.1083222,26.09207730592533,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-10173,0.0059877483333337,110,6,12,7.726098906103427,5.1083222,5.221780547935998,27.72609890610343,94.71500395394824,90.0,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-10173,0.0059877483333337,111,6,11,7.29618143187624,5.221780547935998,5.931606280141473,27.29618143187624,84.98226568988298,85.09254922331054,63.8855391518296,False,,,,,,,,,,,,0,0,0
Li,mp-567337,0.0088194633333333,100,6,6,8.581000257541618,3.4324001030166484,3.4324001030166484,28.581000257541618,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0,0,0
Li,mp-567337,0.0088194633333333,110,6,6,12.135366942942376,2.9725456851647416,2.9725456851647416,32.135366942942376,90.0,90.0,109.47122063449068,False,True,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0,0,0
Li,mp-567337,0.0088194633333333,111,6,9,7.667163419964826,4.854146777176952,4.854146777176953,27.66716341996483,85.882860523473,85.882860523473,60.00000000000002,False,True,2.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,0,0,0
Li,mp-135,0.0096508633333334,100,6,6,8.598281129652046,3.4393124518608182,3.4393124518608182,28.598281129652044,90.0,90.0,90.0,False,True,2.0,0.0,1.0,3.0,,,,,,,0,0,0
Li,mp-135,0.0096508633333334,110,6,6,12.159805786650583,2.978531954863613,2.978531954863613,32.15980578665058,90.0,90.0,109.47122063449068,False,True,2.0,1.0,1.0,4.0,,,,,,,0,0,0
Li,mp-135,0.0096508633333334,111,6,6,4.714325156735796,4.863922314660232,4.863922314660232,24.7143251567358,90.0,94.117139476527,60.00000000000002,False,True,2.0,2.0,1.0,5.0,,,,,,,0,0,0
Li,mp-1063005,0.0156708833333336,100,6,6,7.143024526336937,2.888843,4.94883255973048,27.14302452633694,90.0,90.0,90.0,False,True,3.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,0.0,1.0,0,0,0
Li,mp-1063005,0.0156708833333336,110,6,18,12.372081399326198,2.888843,8.571629431604332,32.3720813993262,90.0,90.0,90.0,False,True,5.0,2.0,2.0,9.0,5.0,2.0,2.0,5.0,2.0,2.0,0,0,0
Li,mp-1063005,0.0156708833333336,111,6,10,5.660015959789375,5.730301700861617,5.730301700861617,25.660015959789376,89.12091635655715,90.87908364344288,83.17873165632304,False,True,5.0,3.0,2.0,10.0,5.0,3.0,2.0,5.0,3.0,2.0,0,0,0
Li,mp-1103107,0.0553794725000003,100,6,36,7.042901210316845,5.406859,16.09323400793516,27.04290121031684,90.0,90.0,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-1103107,0.0553794725000003,110,6,18,7.375771257612556,5.406859,8.51582021,27.37577125761256,94.40477900468444,90.00000000000001,90.0,False,,,,,,,,,,,,0,0,0
Li,mp-1103107,0.0553794725000003,111,6,25,7.73453464462553,7.766512654203165,8.515820209999994,27.734534644625533,88.9750954475036,85.02813618833585,76.4085427274221,False,,,,,,,,,,,,0,0,0
Ti,mp-72,0.0,100,6,6,6.725112861248276,2.82624427,4.56737483,26.72511286124828,86.3295034916849,90.0,90.0,False,True,3.0,0.0,1.0,4.0,3.0,0.0,1.0,3.0,0.0,1.0,0,0,0
Ti,mp-72,0.0,110,6,18,11.418437074999996,2.82624427,7.910925262771264,31.418437075,90.0,90.0,90.0,False,True,5.0,2.0,2.0,9.0,5.0,2.0,2.0,5.0,2.0,2.0,0,0,0
Ti,mp-72,0.0,111,6,15,7.851240409492336,5.371086436785896,5.371086436785892,27.85124040949233,93.90303347906196,86.09696652093805,85.14256970931619,False,True,5.0,3.0,2.0,10.0,5.0,3.0,2.0,5.0,3.0,2.0,0,0,0
Ti,mp-46,0.0151696033333319,100,6,12,13.55956493733863,2.935731925,4.64085615,33.559564937338635,90.0,90.0,90.0,False,True,3.0,2.0,2.0,7.0,3.0,2.0,2.0,3.0,2.0,2.0,0,0,0
