material,material id,miller index,site type,site number,Adsorption energy
Ag,mp-124,100,bridge,0,-0.5104807985979634
Ag,mp-124,100,bridge,1,-0.7817741041350442
Ag,mp-124,100,ontop,0,-0.3073317816503861
Ag,mp-124,110,bridge,0,-1.021932687705801
Ag,mp-124,110,bridge,2,-0.3322210002300571
Ag,mp-124,110,ontop,0,-0.1053284408345883
Ag,mp-124,111,bridge,0,-0.5799325146838596
Ag,mp-124,111,bridge,1,-0.5236528250734488
Ag,mp-124,111,hollow,0,-0.5718580038504936
Ag,mp-124,111,hollow,1,-0.5820206413265049
Ag,mp-124,111,ontop,0,-0.3283095941386008
Ag,mp-2646971,100,bridge,0,-0.4737754118878028
Ag,mp-2646971,100,ontop,0,-0.1553434756758585
Ag,mp-2646971,110,bridge,0,-0.4955158673986506
Ag,mp-2646971,110,hollow,0,-0.6442639759177742
Ag,mp-2646971,110,ontop,0,-0.313954807834861
Ag,mp-2646971,111,bridge,0,-1.2604700636871389
Ag,mp-2646971,111,ontop,0,-1.2607355394666366
Ag,mp-2646971,111,ontop,1,-1.2607053280090996
Ag,mp-10597,100,hollow,0,-0.6787984833967179
Ag,mp-10597,100,hollow,1,-0.7799511593873992
Ag,mp-10597,110,hollow,0,-1.0176618326238076
Ag,mp-10597,110,hollow,1,-1.0173581588449006
Ag,mp-10597,111,hollow,0,-1.1900436529417198
Ag,mp-10597,111,hollow,1,-1.1893338694241558
LiAg,mp-2426,100,bridge,0,-0.455400988868349
LiAg,mp-2426,100,bridge,1,-0.8030231244826352
LiAg,mp-2426,100,ontop,0,-0.2010791845278862
LiAg,mp-2426,110,bridge,0,-0.4216340455970598
LiAg,mp-2426,110,hollow,0,-0.4240382612231372
LiAg,mp-2426,110,hollow,1,-0.1821275886688225
LiAg,mp-2426,110,ontop,0,-0.2749613600801231
LiAg,mp-2426,110,ontop,1,-0.2293097521410442
LiAg,mp-2426,111,bridge,0,-0.9656692569081872
LiAg,mp-2426,111,bridge,2,-0.4454669176283353
LiAg,mp-2426,111,ontop,0,-0.1638624534335344
LiAg,mp-2426,111,ontop,1,-0.4470514442533201
